12,15
0,5,1,1,5,0,2,1,1,5,0,0
5,5,0,2,0,1,2,3,0,0,0,0
0,4,0,0,0,5,5,1,1,2,0,0
0,5,5,1,0,5,5,0,5,0,0,0
0,5,5,3,5,2,0,3,0,0,0,0
0,5,5,2,0,4,0,5,0,0,0,0
1,0,5,0,1,5,5,1,5,5,0,0
1,5,5,0,5,0,5,0,4,5,0,0
5,0,5,1,2,5,0,0,3,0,0,0
5,0,5,5,1,0,1,5,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
STATION:7,5:渋谷
STATION:6,6:秋葉原
STATION:3,9:上野
STATION:6,7:池袋
STATION:5,8:品川
STATION:8,6:上野
STATION:9,6:横浜
STATION:9,7:八王子
STATION:7,9:横浜
STATION:8,9:立川
STATION:0,1:八王子
STATION:1,0:開成
STATION:1,1:早稲田
STATION:4,0:新宿
STATION:1,3:東京
STATION:2,3:秋葉原
STATION:1,4:吉祥寺
STATION:2,4:新宿
STATION:1,5:八王子
STATION:5,2:渋谷
STATION:2,5:早稲田
STATION:6,2:品川
STATION:5,3:上野
STATION:4,4:池袋
STATION:2,6:品川
STATION:1,7:立川
STATION:0,8:早稲田
STATION:9,0:池袋
STATION:6,3:横浜
STATION:2,7:吉祥寺
STATION:0,9:東京
STATION:2,8:渋谷
STATION:8,3:立川
STATION:5,6:東京
STATION:4,7:新宿
STATION:2,9:秋葉原
